Product ID,Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region,Payment Method,Rating,Reviews
P001,10001,2024-11-01,Electronics,iPhone 14 Pro,2,999.99,1999.98,North America,Credit Card,1,I always wanted to have an I phone i got it now. Thank you very much for such product.
P002,10002,2024-11-01,Home Appliances,Dyson V11 Vacuum,1,499.99,499.99,Europe,PayPal,0,A terrible experience. The vacuum cleaner doesn't even work bro.
P003,10003,2024-11-01,Clothing,Levi's 501 Jeans,3,69.99,209.97,Asia,Debit Card,1,I regret buying this. It's of very low quality the jeans very torn after few days of use. I won't recommend buying this product.
P004,10004,2024-11-01,Books,The Da Vinci Code,4,15.99,63.96,North America,Credit Card,0,Well love the book, but the quality of the book is okay okay and fine.
P005,10005,2024-11-01,Beauty Products,Neutrogena Skincare Set,1,89.99,89.99,Europe,PayPal,4,Absolutely fantastic after one month of use! Didn't except to have such good results on my screen.
P006,10006,2024-11-01,Sports,Nike Air Max 270,2,150.0,300.0,Asia,Credit Card,0,This shoes are awesome i had lot of comfort after using this, the cost was too high but fine, it's worth the cost.
P007,10007,2024-11-01,Electronics,Samsung Galaxy S22,1,799.99,799.99,North America,Debit Card,1,Man received a damaged product bro, sheesh i wan't a new and please replace this product as soon as possible!!!
P008,10008,2024-11-01,Home Appliances,Keurig K-Elite Coffee Maker,1,129.99,129.99,Europe,PayPal,5,Five stars! The worst product, don't like the product sir/madam. Totally shit.
P009,10009,2024-11-01,Clothing,Adidas Ultraboost,2,180.0,360.0,Asia,Credit Card,1,The quality is shocking. Avoid this product.
P010,10010,2024-11-01,Books,To Kill a Mockingbird,5,12.99,64.95,North America,Credit Card,1,The item arrived damaged and unusable.
P011,10011,2024-11-01,Beauty Products,Fenty Beauty Foundation,1,36.0,36.0,Europe,PayPal,1,The beauty product doesn't seem to work well after so many days of use.
P012,10012,2024-11-01,Sports,Yoga Mat,3,29.99,89.97,Asia,Debit Card,5,Works perfectly and is incredibly well-made.
P013,10013,2024-11-09,Electronics,Apple Watch Series 8,1,399.0,399.0,North America,Credit Card,4,Excellent quality and value. Highly recommend.
P014,10014,2024-11-09,Home Appliances,Instant Pot Duo,1,89.99,89.99,Europe,Credit Card,1,Very disappointed with the quality. Broke almost immediately.
P015,10015,2024-11-09,Clothing,Patagonia Better Sweater,1,139.0,139.0,Asia,PayPal,4,Top-notch quality and i love it. You won't be disappointed. Buy it guys 
P016,10016,2024-11-09,Books,1984 by George Orwell,4,9.99,39.96,North America,Debit Card,4,The quality of the book is awesome! The pages smells so good, I recommend you guys for buying it.
P017,10017,2024-11-09,Beauty Products,La Mer Moisturizing Cream,1,190.0,190.0,Europe,Credit Card,1,The Moisturizing doesn't work fine. Don't buy it i recommend other products.
P018,10018,2024-11-09,Sports,Lululemon Align Leggings,2,98.0,196.0,Asia,PayPal,1,Fell apart after just one use. Absolute junk. Have been using this brand for years. this time it failed.
P019,10019,2024-11-09,Electronics,Sony WH-1000XM5 Headphones,1,399.99,399.99,North America,Credit Card,1,The brand is good for some reason i don't like it.
P020,10020,2024-11-09,Home Appliances,Roomba i7+ Robot Vacuum,1,799.99,799.99,Europe,Debit Card,4,I'm so happy with this. It's exactly what I wanted.
P021,10021,2024-11-09,Clothing,Nike Dunk Low,3,110.0,330.0,Asia,Credit Card,2,The product is average. Met my basic needs.
P022,10022,2024-11-09,Books,The Great Gatsby,5,10.0,50.0,North America,PayPal,1,A terrible experience. The product is not as described.
P023,10023,2024-11-09,Beauty Products,Dior Addict Lip Glow,1,35.0,35.0,Europe,Credit Card,1,A terrible experience. The product is not as described.
P024,10024,2024-11-09,Sports,Fitbit Charge 5,1,149.95,149.95,Asia,Debit Card,1,Very disappointed with the quality. Broke almost immediately.
P025,10025,2024-11-09,Electronics,MacBook Air M2,1,1199.0,1199.0,North America,Credit Card,0,Does not work as advertised. Extremely frustrating.
P026,10026,2024-11-09,Home Appliances,Air Fryer,2,89.95,179.9,Europe,PayPal,4,I'm so happy with this. It's exactly what I wanted.
P027,10027,2024-11-09,Clothing,The North Face Jacket,1,250.0,250.0,Asia,Credit Card,1,I didn't like the quality and it was damaged. I had to return it.
P028,10028,2024-11-09,Books,Sapiens: A Brief History of Humankind,3,22.0,66.0,North America,Debit Card,5,Brilliant! I would definitely recommend this to my friends and families.
P029,10029,2024-11-09,Beauty Products,Supergoop! Unseen Sunscreen,2,34.0,68.0,Europe,Credit Card,2,Decent for the price, but could be better.
P030,10030,2024-11-09,Sports,Peloton Bike,1,1445.0,1445.0,North America,PayPal,5,Love it! The design is great and it's very effective.
P031,10031,2024-11-09,Electronics,GoPro HERO11 Black,1,499.99,499.99,Europe,Credit Card,4,Excellent quality and value. Highly recommend.
P032,10032,2024-11-09,Home Appliances,Blender,3,45.5,136.5,Asia,Debit Card,0,Fell apart after just one use. Absolutely not worth of buying it. 
P033,10033,2024-11-09,Clothing,Uniqlo Airism T-shirt,5,19.9,99.5,North America,Credit Card,5,Five stars! The best purchase I've made this year. Nope i was lying. I don't like the design of the T-shirt sirji.
P034,10034,2024-11-09,Books,Atomic Habits,4,16.99,67.96,Europe,PayPal,1,The Atomic habit book is so good. The quality and other stuff didn't made me unhappy i would recommend this one.
P035,10035,2024-11-09,Beauty Products,The Ordinary Niacinamide,3,6.5,19.5,Asia,Credit Card,1,Fell apart after just one use. Absolute junk.
P036,10036,2024-11-09,Sports,Wilson Evolution Basketball,2,59.99,119.98,North America,Debit Card,5,Brilliant! I would definitely buy this again.
P037,10037,2024-11-09,Electronics,Amazon Kindle Paperwhite,1,139.99,139.99,Europe,Credit Card,0,The item arrived damaged and unusable.
P038,10038,2024-11-09,Home Appliances,Electric Kettle,2,25.0,50.0,Asia,PayPal,4,Absolutely fantastic! Exceeded all my expectations.
P039,10039,2024-11-09,Clothing,Dr. Martens 1460 Boots,1,150.0,150.0,North America,Credit Card,4,A truly wonderful product. I'm very impressed.
P040,10040,2024-11-09,Books,Where the Crawdads Sing,3,14.99,44.97,Europe,Debit Card,0,This product did not work at all. A complete waste of money.
P041,10041,2024-11-11,Beauty Products,Glow Recipe Watermelon Glow,1,34.0,34.0,Asia,Credit Card,1,A terrible experience. The product is not as described.
P042,10042,2024-11-11,Sports,Manduka PRO Yoga Mat,1,120.0,120.0,North America,PayPal,1,The quality is shocking. Avoid this product.
P043,10043,2024-11-11,Electronics,iPad Pro,1,799.0,799.0,Europe,Credit Card,0,This product did not work at all. A complete waste of money.
P044,10044,2024-11-11,Home Appliances,Toaster,4,30.0,120.0,Asia,Debit Card,1,A complete failure. I had to return it.
P045,10045,2024-11-11,Clothing,H&M Hoodie,3,24.99,74.97,North America,Credit Card,5,A truly wonderful product. I'm very impressed.
P046,10046,2024-11-11,Books,The Silent Patient,2,13.99,27.98,Europe,PayPal,4,Works perfectly and is incredibly well-made.
P047,10047,2024-11-11,Beauty Products,Laneige Lip Sleeping Mask,2,22.0,44.0,Asia,Credit Card,1,Does not work as advertised. Extremely frustrating.
P048,10048,2024-11-11,Sports,Gaiam Yoga Block,2,10.99,21.98,North America,Debit Card,1,The item arrived damaged and unusable.
P049,10049,2024-11-11,Electronics,Bose SoundLink Revolve,1,199.0,199.0,Europe,Credit Card,5,Excellent quality and value. Highly recommend.
P050,10050,2024-11-11,Home Appliances,Microwave Oven,1,99.99,99.99,Asia,PayPal,0,A complete failure. I had to return it.
P051,10051,2024-11-11,Clothing,Zara Dress,1,79.9,79.9,North America,Credit Card,4,Excellent quality and value. Highly recommend.
P228,10228,2024-11-13,Sports,The North Face Recon Backpack,1,99.0,99.0,North America,Debit Card,0,Very disappointed with the quality. Broke almost immediately.
P229,10229,2024-11-13,Electronics,LG Ultrawide Monitor,1,349.99,349.99,Europe,Credit Card,4,I'm so happy with this. It's exactly what I wanted.
P230,10230,2024-11-13,Home Appliances,Smart Garden,1,199.95,199.95,Asia,PayPal,0,The item arrived damaged and unusable.
P231,10231,2024-11-13,Clothing,Nike Tech Fleece Joggers,2,110.0,220.0,North America,Credit Card,0,The item arrived damaged and unusable.
P232,10232,2024-11-13,Books,Dune by Frank Herbert,2,9.99,19.98,North America,Credit Card,0,I would not recommend this. It's poorly made.
P233,10233,2024-11-13,Beauty Products,Fresh Sugar Lip Treatment,1,24.0,24.0,Europe,PayPal,3,I have mixed feelings about this product.
P234,10234,2024-11-13,Sports,Hydro Flask Standard Mouth Water Bottle,3,32.95,98.85,Asia,Credit Card,0,Fell apart after just one use. Absolute junk.
P235,10235,2024-11-13,Electronics,Bose QuietComfort 35 II Wireless Headphones,1,299.0,299.0,North America,Credit Card,5,Five stars! The best purchase I've made this year.
P236,10236,2024-11-13,Home Appliances,Nespresso Vertuo Next Coffee and Espresso Maker,1,159.99,159.99,Europe,PayPal,0,A terrible experience. The product is not as described.
P237,10237,2024-11-13,Clothing,Nike Air Force 1 Sneakers,3,90.0,270.0,Asia,Debit Card,5,A truly wonderful product. I'm very impressed.
P238,12345,2024-11-13,Electronics,Sony WH-1000XM5 Headphones,1,399.99,399.99,Europe,PayPal,5,Outstanding noise cancellation and battery life. Worth every penny!
P239,12346,2024-11-13,Home Appliances,Instant Pot Duo Plus,2,99.99,199.98,North America,Credit Card,4,This has simplified my weeknight cooking so much. Very versatile.
P240,12347,2024-11-13,Clothing,Patagonia Better Sweater Fleece,1,139.0,139.0,Asia,Debit Card,5,Incredibly warm and comfortable. The quality is exceptional as always.
P241,12348,2024-11-13,Books,Project Hail Mary by Andy Weir,1,14.99,14.99,Europe,PayPal,5,Could not put this down! A fantastic and gripping story from start to finish.
P242,12349,2024-11-13,Beauty Products,La Roche-Posay Effaclar Duo,1,24.99,24.99,North America,Debit Card,3,It's okay for occasional breakouts, but I didn't see a major improvement.
P243,12350,2024-11-13,Sports,Yoga Mat Pro,1,45.5,45.5,Asia,Credit Card,2,The mat is too thin and slippery for my liking. Not recommended for hot yoga.
P244,12351,2024-11-13,Electronics,Apple MacBook Air M3,1,1099.99,1099.99,North America,Credit Card,5,Blazing fast performance and the battery lasts all day. Perfect for work.
P245,12352,2024-11-13,Home Appliances,KitchenAid Artisan Stand Mixer,1,429.99,429.99,Europe,PayPal,1,Arrived with a large scratch on the side. Very disappointed with the packaging.
P246,12353,2024-11-13,Clothing,Lululemon Align Leggings,2,98.0,196.0,Asia,PayPal,4,These are so comfortable for yoga, but they do pill over time.
P247,12354,2024-11-13,Books,The Midnight Library by Matt Haig,3,13.5,40.5,North America,Debit Card,4,A beautiful and thought-provoking concept. A very enjoyable read.
P248,12355,2024-11-13,Beauty Products,Charlotte Tilbury Pillow Talk Lipstick,1,34.0,34.0,Europe,Credit Card,5,My new favorite shade! The formula is long-lasting and not drying.
P249,12356,2024-11-13,Sports,Wilson Evolution Basketball,1,59.99,59.99,North America,Credit Card,5,The best indoor basketball I've ever used. Great grip and feel.
P250,12357,2024-11-13,Electronics,Canon EOS R50 Camera,1,699.0,699.0,Asia,PayPal,3,Good beginner camera, but the kit lens is quite basic.
P251,12358,2024-11-13,Home Appliances,Breville Barista Express,1,699.95,699.95,Europe,Debit Card,5,My home is now a cafe! The learning curve is steep but so worth it.
P252,12359,2024-11-13,Clothing,Uniqlo Ultra Light Down Jacket,1,79.9,79.9,Asia,Credit Card,4,So packable and warm for its weight. Perfect for travel.
P253,12360,2024-11-13,Books,Dune by Frank Herbert,2,12.99,25.98,North America,PayPal,5,A masterpiece of science fiction. The world-building is unparalleled.
P254,12361,2024-11-13,Beauty Products,Olaplex No. 3 Hair Perfector,1,28.0,28.0,Europe,Debit Card,2,Did nothing for my damaged hair. A complete waste of money for me.
P255,12362,2024-11-14,Sports,Garmin Forerunner 265,1,449.99,449.99,North America,Credit Card,5,Incredible running watch. The GPS is accurate and the data insights are superb.
P256,12363,2024-11-14,Electronics,Amazon Echo Dot (5th Gen),3,49.99,149.97,Asia,PayPal,4,Surprisingly good sound for its size. Great for smart home control.
P257,12364,2024-11-14,Home Appliances,iRobot Roomba j7+,1,599.99,599.99,Europe,Credit Card,1,It constantly gets stuck under my furniture. Not as smart as advertised.
P258,12365,2024-11-14,Clothing,Everlane The Cashmere Crew,1,120.0,120.0,North America,Debit Card,0,This sweater started pilling horribly after the first wash. Poor quality.
P259,12366,2024-11-14,Books,Atomic Habits by James Clear,1,11.99,11.99,Asia,Credit Card,5,Life-changing book. The strategies are practical and actually work.
P260,12367,2024-11-14,Beauty Products,Supergoop! Unseen Sunscreen,1,34.0,34.0,North America,PayPal,5,This is my holy grail sunscreen. It feels like absolutely nothing on the skin.
P261,12400,2024-11-14,Electronics,Google Pixel 8 Pro,1,899.00,899.00,North America,Credit Card,4,The camera system is phenomenal, especially in low light. Software is smooth.
P262,12401,2024-11-14,Home Appliances,Shark Navigator Lift-Away Vacuum,1,229.99,229.99,Europe,PayPal,3,Powerful suction but a bit heavier than I expected. Gets the job done.
P263,12402,2024-11-14,Clothing,The North Face Aconcagua Jacket,1,199.95,199.95,Asia,Debit Card,5,Incredibly warm and lightweight. Perfect for chilly autumn hikes.
P264,12403,2024-11-14,Books,Klara and the Sun by Kazuo Ishiguro,2,13.99,27.98,North America,Credit Card,4,A poignant and beautifully written story from a unique perspective.
P265,12404,2024-11-14,Beauty Products,Drunk Elephant Protini Polypeptide Cream,1,68.00,68.00,Europe,Debit Card,2,This broke me out terribly. Not suitable for my sensitive skin.
P266,12405,2024-11-14,Sports,Spalding NBA Street Basketball,1,24.99,24.99,Asia,PayPal,4,Great grip and feel for outdoor courts. Holds up well on concrete.
P267,12406,2024-11-14,Electronics,PlayStation 5 Console,1,499.99,499.99,North America,Credit Card,5,Finally got one! The graphics and load times are a game-changer.
P268,12407,2024-11-14,Home Appliances,Cuisinart Air Fryer Toaster Oven,1,179.99,179.99,Europe,PayPal,1,Stopped working after two weeks. The door hinge also feels flimsy.
P269,12408,2024-11-14,Clothing,L.L.Bean Wicked Good Slippers,2,59.95,119.90,Asia,Credit Card,5,Worth the hype! So cozy and warm. The sole is durable for quick trips outside.
P270,12409,2024-11-14,Books,Pachinko by Min Jin Lee,1,12.50,12.50,North America,Debit Card,5,An epic, multi-generational saga. I was completely immersed in the characters' lives.
P271,12410,2024-11-14,Beauty Products,Glow Recipe Watermelon Glow Niacinamide Dew Drops,1,34.00,34.00,Europe,Credit Card,3,Adds a nice glow but I didn't see much improvement in my skin texture.
P272,12411,2024-11-14,Sports,Brooks Ghost 15 Running Shoes,1,139.95,139.95,Asia,PayPal,5,My go-to running shoe. Perfect balance of cushion and responsiveness.
P273,12412,2024-11-14,Electronics,Anker 737 Power Bank,1,89.99,89.99,North America,Credit Card,4,Charges my laptop and phone multiple times. A lifesaver for travel.
P274,12413,2024-11-14,Home Appliances,Honeywell QuietClean Air Purifier,1,189.49,189.49,Europe,Debit Card,4,Noticeably cleaner air and less dust. A bit noisy on the highest setting.
P275,12414,2024-11-14,Clothing,Madewell High-Rise Skinny Jeans,1,89.50,89.50,Asia,Credit Card,2,The sizing is inconsistent. My usual size was way too tight.
P276,12415,2024-11-24,Books,Where the Crawdads Sing by Delia Owens,1,10.99,10.99,North America,PayPal,0,The plot was predictable and the characters felt flat. Could not finish it.
P277,12416,2024-11-24,Beauty Products,Summer Fridays Lip Butter Balm,1,24.00,24.00,Europe,Debit Card,5,So hydrating and not sticky at all. The vanilla scent is divine.
P278,12417,2024-11-24,Sports,RumbleRoller Deep Tissue Massage Roller,1,39.99,39.99,Asia,Credit Card,3,It's very intense! Great for deep knots but can be painful to use.
P279,12418,2024-11-24,Electronics,Logitech MX Master 3S Mouse,1,99.99,99.99,North America,Credit Card,5,The ergonomics are perfect for all-day work. The scrolling is magical.
P280,12419,2024-11-24,Home Appliances,Ninja Foodi 8-in-1 Pressure Cooker,1,199.99,199.99,Europe,PayPal,4,This appliance does everything. It has saved me so much time in the kitchen.
P281,12420,2024-11-24,Clothing,Vuori Performance Joggers,1,88.00,88.00,Asia,Debit Card,5,The most comfortable pants I own. Perfect for both lounging and working out.
P282,12421,2024-11-24,Books,Sapiens by Yuval Noah Harari,1,16.99,16.99,North America,Credit Card,5,A mind-expanding book that completely changed my perspective on history.
P283,12422,2024-11-24,Beauty Products,The Ordinary Niacinamide 10% + Zinc 1%,1,5.90,5.90,Europe,PayPal,4,Unbeatable for the price. Really helped control my oiliness.
P284,12423,2024-11-24,Sports,Hydro Flask 32 oz Water Bottle,1,44.95,44.95,Asia,Credit Card,5,Keeps ice frozen for over 24 hours. The durability is impressive.
P285,12424,2024-11-24,Electronics,Samsung 55" The Frame TV,1,1499.99,1499.99,North America,Debit Card,3,The art mode is stunning, but the smart TV interface is slow.
P286,12425,2024-11-24,Home Appliances,OXO Brew Conical Burr Grinder,1,99.99,99.99,Europe,Credit Card,4,Consistent grind size and very low static. A great value for the price.
P287,12426,2024-11-24,Clothing,Allbirds Tree Runners,1,95.00,95.00,Asia,PayPal,1,Not enough arch support for me. They also started to smell quickly.
P288,12427,2024-11-26,Books,The Seven Husbands of Evelyn Hugo by Taylor Jenkins Reid,1,11.49,11.49,North America,Debit Card,5,Glamorous, gripping, and surprisingly emotional. I devoured this book.
P289,12428,2024-11-26,Beauty Products,ILIA Super Serum Skin Tint,1,48.00,48.00,Europe,Credit Card,2,Oxidized on my skin and turned orange. The shade range is misleading.
P290,12429,2024-11-26,Sports,TRX All-in-One Suspension Training Kit,1,149.95,149.95,Asia,PayPal,5,Incredibly versatile for a full-body workout at home or on the go.
P291,12430,2024-11-26,Electronics,JBL Flip 6 Bluetooth Speaker,2,129.95,259.90,North America,Credit Card,4,Great sound for its size and fully waterproof. Perfect for the beach.
P292,12431,2024-12-01,Home Appliances,Zojirushi Neuro Fuzzy Rice Cooker,1,249.99,249.99,Europe,Debit Card,5,Makes perfect rice every single time. The keep-warm function is fantastic.
P293,12432,2024-12-01,Clothing,Carhartt WIP Chase Beanie,1,28.00,28.00,Asia,Credit Card,4,Warm and well-made. My go-to winter hat.
P294,12433,2024-12-01,Books,Educated by Tara Westover,1,13.25,13.25,North America,PayPal,5,A powerful and unforgettable memoir about resilience and the pursuit of knowledge.
P295,12434,2024-12-01,Beauty Products,Kosas Revealer Concealer,1,28.00,28.00,Europe,Debit Card,1,Cakey and settled into my fine lines almost immediately. Terrible.
P296,12435,2024-12-01,Sports,On Cloudrunning Shoes,1,149.99,149.99,Asia,Credit Card,3,Unique and comfortable feel, but the durability is questionable for the price.
P297,12436,2024-12-01,Electronics,Garmin inReach Mini 2,1,399.99,399.99,North America,PayPal,5,Essential peace of mind for any backcountry adventure. Reliable and compact.
P298,12437,2024-12-01,Home Appliances,LG 4.5 Cu. Ft. Smart Front Load Washer,1,849.00,849.00,Europe,Debit Card,4,Cleans clothes thoroughly and is very energy efficient. The app is a bit clunky.
P299,12438,2024-12-01,Clothing,Aritzia Super Puff Shorty,1,250.00,250.00,Asia,Credit Card,5,So lightweight yet incredibly warm. I've never owned a better winter coat.
P300,12439,2024-12-01,Books,Circe by Madeline Miller,1,12.99,12.99,North America,PayPal,5,A breathtaking reimagining of Greek mythology. The prose is absolutely beautiful.
P301,12440,2024-12-01,Beauty Products,Saie Glowy Super Skin Gel,1,32.00,32.00,Europe,Debit Card,4,Creates a beautiful, natural-looking glow without any glitter.
P302,12441,2024-12-01,Sports,Gaiam Premium Yoga Mat,1,26.99,26.99,Asia,Credit Card,2,This mat is too thin and provides no joint support during floor poses.
P303,12442,2024-12-01,Electronics,Kindle Paperwhite Signature Edition,1,189.99,189.99,North America,PayPal,5,The screen is crisp and easy on the eyes. The battery life is incredible.
P304,12443,2024-12-01,Home Appliances,Vitamix 5200 Blender,1,449.95,449.95,Europe,Debit Card,5,A beast of a blender. It pulverizes everything into a perfectly smooth consistency.
P305,12444,2024-12-01,Clothing,Reformation Odessa Dress,1,218.00,218.00,Asia,Credit Card,1,The fabric is beautiful but the fit is very strange and unflattering.
P306,12445,2024-12-01,Books,The Vanishing Half by Brit Bennett,1,11.99,11.99,North America,PayPal,4,A compelling and thought-provoking story about identity and family.
P307,12446,2024-12-01,Beauty Products,Paula's Choice 2% BHA Liquid Exfoliant,1,32.00,32.00,Europe,Debit Card,5,A holy-grail product that keeps my pores clear and skin smooth.
P308,12447,2024-12-02,Sports,Yeti Rambler 20 oz Tumbler,1,34.99,34.99,Asia,Credit Card,5,Keeps my coffee hot for hours. The lid is completely leak-proof.
P309,12448,2024-12-02,Electronics,Apple AirPods Pro (2nd Gen),1,249.00,249.00,North America,Credit Card,4,Transparency mode is incredible. Noise cancellation is top-notch.
P310,12449,2024-12-02,Home Appliances,Ember Temperature Control Mug²,1,149.99,149.99,Europe,PayPal,2,A gimmicky product. The battery life is pathetic and it doesn't hold much coffee.
P311,12450,2024-12-02,Clothing,Birkenstock Arizona Sandals,1,100.00,100.00,Asia,Debit Card,5,Took a while to break in, but now they are the most comfortable shoes I own.
P312,12451,2024-12-02,Books,A Gentleman in Moscow by Amor Towles,1,10.49,10.49,North America,Credit Card,5,Charming, witty, and profoundly moving. A true masterpiece of storytelling.
P313,12452,2024-12-02,Beauty Products,Rare Beauty Soft Pinch Liquid Blush,1,23.00,23.00,Europe,Credit Card,5,Extremely pigmented! A little dot goes a very long way. Beautiful finish.
P314,12453,2024-12-02,Sports,Lululemon Energy Bra,1,58.00,58.00,Asia,PayPal,4,Great support for high-impact workouts. The fabric is soft and breathable.
P315,12454,2024-12-02,Electronics,Dell XPS 13 Laptop,1,999.99,999.99,North America,Debit Card,3,Sleek design and great performance, but it tends to run hot under load.
P316,12455,2024-12-02,Home Appliances,Philips Hue White & Color Ambiance Starter Kit,1,199.99,199.99,Europe,Credit Card,5,Completely transformed the ambiance of my home. So fun to control with my phone.
P317,12456,2024-12-02,Clothing,Everlane The Uniform T-Shirt,3,18.00,54.00,Asia,PayPal,2,The fabric is thin and the neckline stretched out after one wash.
P318,12457,2024-12-02,Books,The Invisible Life of Addie LaRue by V.E. Schwab,1,9.99,9.99,North America,Debit Card,4,A unique and captivating fantasy concept with beautiful prose.
P319,12458,2024-12-02,Beauty Products,Tower 28 SOS Daily Rescue Facial Spray,1,20.00,20.00,Europe,Credit Card,4,This really helped calm my redness and irritated skin.
P320,12459,2024-12-02,Sports,Hyperice Venom 2 Back Massager,1,199.00,199.00,Asia,PayPal,1,Overpriced and underwhelming. The heat function is weak and the vibrations are loud.
P321,12500,2024-12-02,Electronics,Apple iPad Air,1,749.00,749.00,North America,Credit Card,5,Perfect for note-taking and media consumption. The screen is gorgeous.
